,Unnamed: 0,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Employment Labor Force,Poverty Rate,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Employment_PCT,Recommended,Another_Store_Present
1626,1626,1570,16782.0,41.4,47885.0,26411.0,2456.0,8984.0,14.634727684423787,,,,,,,,,,,,,,53.53354784888571,Y,0
1627,1627,1571,11445.0,37.2,70590.0,28240.0,837.0,6382.0,7.313237221494102,,,,,,,,,,,,,,55.762341633901265,Y,0
1630,1630,1585,4646.0,45.7,62667.0,31262.0,466.0,2585.0,10.03013344812742,,,,,,,,,,,,,,55.63925957813173,Y,0
1631,1631,1588,10350.0,39.2,62649.0,29244.0,776.0,5922.0,7.497584541062803,,,,,,,,,,,,,,57.21739130434783,Y,0
1633,1633,1602,23707.0,40.0,62832.0,31101.0,2597.0,13117.0,10.954570380056524,,,,,,,,,,,,,,55.329649470620495,Y,0
1634,1634,1603,19385.0,36.1,48183.0,22315.0,3971.0,10205.0,20.484911013670363,,,,,,,,,,,,,,52.64379675006448,Y,0
1635,1635,1604,34720.0,35.9,49797.0,27119.0,5523.0,18708.0,15.907258064516132,,,,,,,,,,,,,,53.882488479262676,Y,0
1637,1637,1606,19495.0,39.5,66912.0,32781.0,1552.0,11286.0,7.961015645037189,,,,,,,,,,,,,,57.8917671197743,Y,0
1638,1638,1607,8957.0,34.4,45152.0,24044.0,1626.0,5012.0,18.153399575750807,,,,,,,,,,,,,,55.95623534665625,Y,0
1642,1642,1611,2481.0,39.3,67179.0,33179.0,80.0,1585.0,3.2245062474808543,,,,,,,,,,,,,,63.88553002821443,Y,0
1644,1644,1701,31435.0,43.6,86994.0,39361.0,1649.0,17908.0,5.2457451884841735,,,,,,,,,,,,,,56.96834738348974,Y,0
1645,1645,1702,38020.0,33.5,53944.0,29023.0,5709.0,22059.0,15.015781167806418,,,,,,,,,,,,,,58.01946344029458,Y,0
1657,1657,1747,5928.0,41.5,89408.0,38747.0,116.0,3209.0,1.956815114709852,,,,,,,,,,,,,,54.13292847503374,Y,0
1659,1659,1749,19263.0,42.8,71971.0,35713.0,1254.0,10633.0,6.509889425323157,,,,,,,,,,,,,,55.19908633130873,Y,0
1660,1660,1752,38842.0,39.5,70304.0,35335.0,2785.0,23457.0,7.170073631635858,,,,,,,,,,,,,,60.390814067246794,Y,0
1661,1661,1754,10211.0,41.7,77622.0,39447.0,797.0,6257.0,7.805308001175202,,,,,,,,,,,,,,61.27705415728136,Y,0
1663,1663,1757,28252.0,38.2,66547.0,32180.0,2914.0,15651.0,10.314314030865072,,,,,,,,,,,,,,55.397847939968855,Y,0
1671,1671,1801,38961.0,39.7,75138.0,35354.0,2407.0,23199.0,6.177972844639513,,,,,,,,,,,,,,59.54415954415954,Y,0
1674,1674,1821,30591.0,40.4,87996.0,35975.0,1926.0,17913.0,6.295969402765518,,,,,,,,,,,,,,58.556438168088654,Y,0
1676,1676,1826,29968.0,40.3,78169.0,32690.0,1288.0,17409.0,4.297917778964228,,,,,,,,,,,,,,58.09196476241324,Y,0
1678,1678,1830,25687.0,39.0,55255.0,29567.0,3609.0,13923.0,14.049908514034335,,,,,,,,,,,,,,54.20251489080079,Y,0
1679,1679,1832,22121.0,38.5,57833.0,29014.0,2412.0,12160.0,10.9036661995389,,,,,,,,,,,,,,54.970390127028615,Y,0
1682,1682,1835,13527.0,37.1,72228.0,31429.0,1153.0,7988.0,8.523693354032675,,,,,,,,,,,,,,59.05226583869298,Y,0
1686,1686,1844,47690.0,39.9,67556.0,30520.0,4022.0,25757.0,8.43363388551059,,,,,,,,,,,,,,54.0092262528832,Y,0
1689,1689,1851,29791.0,33.5,51630.0,22714.0,4903.0,16145.0,16.457990668322648,,,,,,,,,,,,,,54.194219730791175,Y,0
1690,1690,1852,33106.0,35.6,48951.0,26878.0,5632.0,17897.0,17.012021989971608,,,,,,,,,,,,,,54.05968706578868,Y,0
1692,1692,1860,6440.0,43.5,79423.0,36605.0,184.0,3749.0,2.8571428571428568,,,,,,,,,,,,,,58.214285714285715,Y,0
1693,1693,1862,10992.0,39.0,85497.0,30074.0,607.0,6001.0,5.522197962154294,,,,,,,,,,,,,,54.59425036390102,Y,0
1694,1694,1863,9526.0,40.5,81160.0,37573.0,714.0,5250.0,7.495276086500106,,,,,,,,,,,,,,55.11232416544195,Y,0
1697,1697,1876,28778.0,43.4,90897.0,39980.0,890.0,16419.0,3.0926402112725,,,,,,,,,,,,,,57.0539995830148,Y,0
1698,1698,1879,11675.0,42.1,90987.0,40920.0,691.0,6937.0,5.9186295503211985,,,,,,,,,,,,,,59.41755888650964,Y,0
1699,1699,1880,25116.0,42.1,84556.0,40379.0,975.0,15143.0,3.881987577639752,,,,,,,,,,,,,,60.292243987896164,Y,0
1705,1705,1904,18803.0,40.6,80903.0,33409.0,1040.0,10869.0,5.531032282082646,,,,,,,,,,,,,,57.80460564803489,Y,0
1707,1707,1906,27051.0,44.9,76339.0,34350.0,1341.0,15714.0,4.957302872352224,,,,,,,,,,,,,,58.09027392702673,Y,0
1709,1709,1908,3432.0,49.7,66964.0,45464.0,99.0,1949.0,2.8846153846153846,,,,,,,,,,,,,,56.78904428904429,Y,0
1710,1710,1913,16429.0,41.3,78486.0,38659.0,892.0,10020.0,5.4294235802544275,,,,,,,,,,,,,,60.98971331182665,Y,0
1711,1711,1915,40026.0,39.8,70563.0,37554.0,3185.0,22621.0,7.957327736970968,,,,,,,,,,,,,,56.515764752910606,Y,0
1714,1714,1923,26810.0,43.0,79478.0,38281.0,1377.0,15461.0,5.136143230138008,,,,,,,,,,,,,,57.668780305856025,Y,0
1715,1715,1929,3546.0,45.4,74211.0,42259.0,124.0,2107.0,3.4968979131415683,,,,,,,,,,,,,,59.41906373378455,Y,0
1716,1716,1930,29043.0,47.1,61449.0,35928.0,2931.0,15770.0,10.09193265158558,,,,,,,,,,,,,,54.298798333505495,Y,0
1718,1718,1938,13354.0,48.1,77087.0,43021.0,674.0,7728.0,5.047176875842443,,,,,,,,,,,,,,57.870301033398235,Y,0
1723,1723,1950,17569.0,46.3,78638.0,46124.0,1446.0,9711.0,8.230405828447834,,,,,,,,,,,,,,55.27349308441004,Y,0
1724,1724,1951,3707.0,49.2,81106.0,42632.0,266.0,1943.0,7.175613703803616,,,,,,,,,,,,,,52.41435122740761,Y,0
1725,1725,1952,8396.0,46.2,72131.0,35656.0,668.0,5122.0,7.956169604573606,,,,,,,,,,,,,,61.0052405907575,Y,0
1726,1726,1960,51319.0,44.3,64430.0,34255.0,3181.0,28364.0,6.19848399228356,,,,,,,,,,,,,,55.26997798086479,Y,0
