,0,1,Zipcode,Another_Store_Present
23878,0.46,0.54,83204,0
25153,0.46,0.54,93292,0
9830,0.46,0.54,36867,0
23186,0.46,0.54,79059,0
25712,0.465,0.535,96708,0
10246,0.465,0.535,38316,0
327,0.465,0.535,1605,0
9078,0.465,0.535,33812,0
15288,0.465,0.535,54703,0
6735,0.465,0.535,25413,0
19368,0.47,0.53,66419,0
25852,0.47,0.53,97361,0
1923,0.47,0.53,7021,0
13968,0.47,0.53,50138,0
22841,0.47,0.53,78008,0
14830,0.47,0.53,53121,0
23344,0.475,0.525,79703,0
22649,0.475,0.525,77336,0
21014,0.475,0.525,72019,0
2141,0.475,0.525,7803,0
13178,0.475,0.525,48314,0
16523,0.475,0.525,57719,0
344,0.48,0.52,1741,0
10154,0.48,0.52,37931,0
2008,0.48,0.52,7307,0
25340,0.48,0.52,95075,0
23818,0.48,0.52,82643,0
12350,0.48,0.52,45814,0
26531,0.48,0.52,99712,0
14453,0.48,0.52,51571,0
14026,0.48,0.52,50236,0
25086,0.48,0.52,92567,0
15715,0.485,0.515,55955,0
1786,0.485,0.515,6443,0
11994,0.485,0.515,44681,0
474,0.485,0.515,2138,0
5104,0.485,0.515,18249,0
503,0.485,0.515,2301,0
26176,0.485,0.515,98565,0
705,0.485,0.515,2903,0
1751,0.485,0.515,6373,0
9822,0.485,0.515,36856,0
13418,0.485,0.515,48890,0
1731,0.49,0.51,6320,0
6886,0.49,0.51,25932,0
10795,0.49,0.51,40026,0
25431,0.49,0.51,95452,0
26616,0.49,0.51,99926,0
23811,0.49,0.51,82620,0
1451,0.49,0.51,5257,0
22593,0.49,0.51,76941,0
14558,0.49,0.51,52210,0
2527,0.49,0.51,10518,0
2704,0.49,0.51,11724,0
2342,0.49,0.51,8332,0
2213,0.495,0.505,8008,0
2888,0.495,0.505,12198,0
2848,0.495,0.505,12148,0
23204,0.495,0.505,79091,0
21487,0.495,0.505,73096,0
24125,0.495,0.505,84036,0
21648,0.495,0.505,73742,0
16868,0.495,0.505,58734,0
25104,0.495,0.505,93066,0
8265,0.495,0.505,30425,0
2286,0.495,0.505,8095,0
20575,0.495,0.505,70556,0
18488,0.495,0.505,63390,0
2300,0.5,0.5,8202,0
26478,0.5,0.5,99633,0
9764,0.5,0.5,36609,0
26290,0.5,0.5,98943,0
25601,0.5,0.5,95973,0
14872,0.5,0.5,53402,0
17527,0.5,0.5,61201,0
12894,0.5,0.5,47527,0
7447,0.505,0.495,28025,0
26606,0.505,0.495,99835,0
596,0.505,0.495,2655,0
24254,0.505,0.495,84648,0
14359,0.505,0.495,51250,0
7519,0.505,0.495,28330,0
16403,0.505,0.495,57429,0
1656,0.505,0.495,6053,0
26270,0.505,0.495,98858,0
25451,0.505,0.495,95494,0
16468,0.505,0.495,57560,0
22124,0.505,0.495,75454,0
24138,0.505,0.495,84054,0
23928,0.51,0.49,83313,0
2712,0.51,0.49,11742,0
2232,0.51,0.49,8033,0
23049,0.51,0.49,78621,0
819,0.51,0.49,3301,0
2270,0.51,0.49,8078,0
8470,0.51,0.49,31069,0
25395,0.515,0.485,95368,0
25455,0.515,0.485,95521,0
4504,0.515,0.485,16412,0
24127,0.515,0.485,84038,0
430,0.515,0.485,2035,0
516,0.515,0.485,2351,0
9026,0.515,0.485,33545,0
9150,0.515,0.485,34103,0
18543,0.515,0.485,63547,0
19173,0.515,0.485,65631,0
17510,0.515,0.485,61077,0
16596,0.515,0.485,58048,0
24019,0.52,0.48,83605,0
26443,0.52,0.48,99576,0
23526,0.52,0.48,80726,0
7559,0.52,0.48,28390,0
3489,0.52,0.48,13680,0
3079,0.52,0.48,12779,0
5490,0.525,0.475,20106,0
2698,0.525,0.475,11713,0
19642,0.525,0.475,67147,0
25172,0.525,0.475,93461,0
21476,0.525,0.475,73078,0
15078,0.53,0.47,54155,0
15696,0.53,0.47,55932,0
5795,0.53,0.47,21826,0
2334,0.53,0.47,8322,0
2989,0.53,0.47,12518,0
26438,0.53,0.47,99571,0
20661,0.53,0.47,70769,0
19132,0.53,0.47,65552,0
17853,0.535,0.465,61924,0
7247,0.535,0.465,27360,0
26518,0.535,0.465,99682,0
20577,0.535,0.465,70563,0
9151,0.535,0.465,34105,0
2085,0.535,0.465,7649,0
23915,0.535,0.465,83272,0
127,0.535,0.465,1002,0
23310,0.535,0.465,79526,0
2012,0.535,0.465,7403,0
19663,0.535,0.465,67230,0
3884,0.535,0.465,14867,0
1413,0.535,0.465,5068,0
