,0,1,Zipcode,Another_Store_Present
21663,0.88,0.12,73762,0
21666,0.88,0.12,73766,0
19296,0.88,0.12,66025,0
8866,0.88,0.12,32694,0
2477,0.88,0.12,8880,0
12441,0.88,0.12,46065,0
17961,0.88,0.12,62223,0
3416,0.88,0.12,13480,0
24513,0.88,0.12,86411,0
24124,0.88,0.12,84035,0
378,0.88,0.12,1845,0
6019,0.88,0.12,23065,0
18447,0.88,0.12,63137,0
10278,0.88,0.12,38363,0
20835,0.88,0.12,71416,0
16008,0.88,0.12,56374,0
17383,0.88,0.12,60549,0
25360,0.88,0.12,95245,0
10095,0.88,0.12,37777,0
15550,0.88,0.12,55359,0
16005,0.88,0.12,56369,0
13532,0.88,0.12,49238,0
7485,0.88,0.12,28135,0
18701,0.88,0.12,64021,0
12208,0.88,0.12,45370,0
2323,0.88,0.12,8270,0
13083,0.88,0.12,48047,0
16965,0.88,0.12,59050,0
1044,0.88,0.12,4109,0
25711,0.88,0.12,96705,0
18149,0.88,0.12,62544,0
10488,0.88,0.12,38879,0
1032,0.88,0.12,4092,0
15991,0.88,0.12,56353,0
287,0.88,0.12,1516,0
15029,0.88,0.12,54013,0
22238,0.88,0.12,75780,0
2363,0.88,0.12,8510,0
2958,0.88,0.12,12472,0
11875,0.88,0.12,44286,0
25334,0.88,0.12,95043,0
22033,0.88,0.12,75125,0
22213,0.88,0.12,75704,0
23721,0.88,0.12,81434,0
12453,0.88,0.12,46110,0
8916,0.88,0.12,32934,0
3207,0.88,0.12,12985,0
12815,0.88,0.12,47340,0
12455,0.88,0.12,46115,0
18734,0.88,0.12,64085,0
16011,0.88,0.12,56377,0
21749,0.88,0.12,74066,0
23967,0.88,0.12,83434,0
17598,0.88,0.12,61344,0
18940,0.88,0.12,64779,0
10338,0.88,0.12,38548,0
746,0.88,0.12,3070,0
25661,0.88,0.12,96073,0
997,0.88,0.12,4038,0
3052,0.88,0.12,12743,0
12799,0.88,0.12,47283,0
4924,0.88,0.12,17754,0
7909,0.88,0.12,29369,0
2257,0.88,0.12,8062,0
16887,0.88,0.12,58763,0
12463,0.88,0.12,46126,0
7521,0.88,0.12,28333,0
12601,0.88,0.12,46737,0
10597,0.88,0.12,39201,0
13030,0.88,0.12,47957,0
23300,0.88,0.12,79508,0
5386,0.88,0.12,19435,0
3075,0.88,0.12,12775,0
5916,0.88,0.12,22716,0
6155,0.88,0.12,23828,0
8541,0.88,0.12,31548,0
25103,0.88,0.12,93040,0
6662,0.88,0.12,25143,0
7317,0.88,0.12,27813,0
12636,0.88,0.12,46792,0
22723,0.88,0.12,77519,0
2774,0.88,0.12,12019,0
12574,0.88,0.12,46570,0
26330,0.88,0.12,99113,0
13984,0.88,0.12,50156,0
3917,0.88,0.12,15010,0
24192,0.88,0.12,84330,0
3362,0.88,0.12,13355,0
8225,0.88,0.12,30274,0
20432,0.88,0.12,69351,0
11783,0.88,0.12,44017,0
26378,0.88,0.12,99176,0
5289,0.88,0.12,18964,0
5660,0.88,0.12,21229,0
25089,0.88,0.12,92587,0
2799,0.88,0.12,12057,0
8229,0.88,0.12,30285,0
8201,0.88,0.12,30216,0
1756,0.88,0.12,6378,0
14242,0.88,0.12,50671,0
7808,0.88,0.12,29036,0
16234,0.88,0.12,57026,0
23883,0.88,0.12,83213,0
1973,0.88,0.12,7080,0
18539,0.88,0.12,63543,0
17515,0.88,0.12,61084,0
5821,0.88,0.12,21912,0
10151,0.88,0.12,37920,0
5628,0.88,0.12,21078,0
1989,0.88,0.12,7106,0
16923,0.88,0.12,58852,0
23041,0.88,0.12,78612,0
8151,0.88,0.12,30058,0
16096,0.88,0.12,56552,0
23694,0.88,0.12,81325,0
24819,0.88,0.12,88340,0
809,0.88,0.12,3278,0
2709,0.88,0.12,11739,0
5775,0.88,0.12,21780,0
11161,0.88,0.12,41645,0
19817,0.88,0.12,67647,0
13542,0.88,0.12,49251,0
19319,0.88,0.12,66072,0
23378,0.88,0.12,79781,0
24243,0.88,0.12,84635,0
11722,0.88,0.12,43824,0
2570,0.88,0.12,10916,0
4547,0.88,0.12,16630,0
18237,0.88,0.12,62811,0
24898,0.88,0.12,89413,0
22357,0.88,0.12,76140,0
5584,0.88,0.12,20779,0
10222,0.88,0.12,38231,0
540,0.88,0.12,2465,0
6175,0.88,0.12,23867,0
12554,0.88,0.12,46511,0
6247,0.88,0.12,24078,0
1955,0.88,0.12,7062,0
3498,0.88,0.12,13694,0
25255,0.88,0.12,93932,0
4775,0.88,0.12,17210,0
5278,0.88,0.12,18925,0
5678,0.88,0.12,21536,0
121,0.88,0.12,979,0
1726,0.88,0.12,6278,0
10121,0.88,0.12,37853,0
22960,0.88,0.12,78371,0
11680,0.88,0.12,43734,0
4788,0.88,0.12,17225,0
17843,0.88,0.12,61882,0
8758,0.88,0.12,32332,0
519,0.88,0.12,2360,0
15914,0.88,0.12,56245,0
1819,0.88,0.12,6513,0
16942,0.88,0.12,59020,0
128,0.88,0.12,1005,0
23053,0.88,0.12,78629,0
24251,0.88,0.12,84645,0
18642,0.88,0.12,63841,0
11791,0.88,0.12,44039,0
12947,0.88,0.12,47639,0
1800,0.88,0.12,6471,0
19299,0.88,0.12,66032,0
3900,0.88,0.12,14886,0
6876,0.88,0.12,25907,0
18296,0.88,0.12,62881,0
11465,0.88,0.12,43028,0
2083,0.88,0.12,7647,0
17298,0.88,0.12,60136,0
18746,0.88,0.12,64116,0
16777,0.885,0.115,58492,0
278,0.885,0.115,1475,0
2371,0.885,0.115,8527,0
1261,0.885,0.115,4685,0
8000,0.885,0.115,29571,0
9273,0.885,0.115,34974,0
18708,0.885,0.115,64037,0
17357,0.885,0.115,60474,0
15801,0.885,0.115,56081,0
2971,0.885,0.115,12491,0
21108,0.885,0.115,72173,0
26456,0.885,0.115,99602,0
20682,0.885,0.115,70812,0
25978,0.885,0.115,97722,0
18127,0.885,0.115,62514,0
22591,0.885,0.115,76936,0
16778,0.885,0.115,58494,0
7336,0.885,0.115,27837,0
25729,0.885,0.115,96741,0
2373,0.885,0.115,8530,0
3773,0.885,0.115,14611,0
14369,0.885,0.115,51347,0
16200,0.885,0.115,56738,0
25501,0.885,0.115,95626,0
14521,0.885,0.115,52134,0
22814,0.885,0.115,77962,0
22818,0.885,0.115,77969,0
9823,0.885,0.115,36858,0
25383,0.885,0.115,95324,0
21497,0.885,0.115,73114,0
2395,0.885,0.115,8620,0
10724,0.885,0.115,39669,0
21598,0.885,0.115,73625,0
1290,0.885,0.115,4768,0
18101,0.885,0.115,62454,0
7377,0.885,0.115,27888,0
14374,0.885,0.115,51357,0
16935,0.885,0.115,59012,0
18110,0.885,0.115,62467,0
19,0.885,0.115,652,0
15761,0.885,0.115,56027,0
14390,0.885,0.115,51444,0
8044,0.885,0.115,29673,0
26081,0.885,0.115,98243,0
16171,0.885,0.115,56684,0
1398,0.885,0.115,5046,0
12299,0.885,0.115,45710,0
18328,0.885,0.115,62920,0
11676,0.885,0.115,43730,0
20448,0.885,0.115,70037,0
26497,0.885,0.115,99657,0
14896,0.885,0.115,53529,0
2482,0.885,0.115,8889,0
20454,0.885,0.115,70047,0
9154,0.885,0.115,34116,0
24932,0.885,0.115,89826,0
14873,0.885,0.115,53403,0
1105,0.885,0.115,4354,0
23970,0.885,0.115,83440,0
12955,0.885,0.115,47670,0
16233,0.885,0.115,57025,0
12814,0.885,0.115,47339,0
23509,0.885,0.115,80640,0
16624,0.885,0.115,58204,0
5167,0.885,0.115,18441,0
4066,0.885,0.115,15411,0
2552,0.885,0.115,10590,0
13482,0.885,0.115,49078,0
24884,0.885,0.115,89178,0
23396,0.885,0.115,79847,0
16621,0.885,0.115,58081,0
21128,0.885,0.115,72331,0
22645,0.885,0.115,77327,0
9250,0.885,0.115,34753,0
20411,0.885,0.115,69214,0
5376,0.885,0.115,19362,0
12990,0.885,0.115,47866,0
11785,0.885,0.115,44023,0
2702,0.885,0.115,11719,0
5397,0.885,0.115,19475,0
2845,0.885,0.115,12140,0
20853,0.885,0.115,71446,0
24238,0.885,0.115,84630,0
13753,0.885,0.115,49764,0
17703,0.885,0.115,61530,0
1671,0.885,0.115,6074,0
6874,0.885,0.115,25904,0
11562,0.885,0.115,43340,0
412,0.885,0.115,1949,0
1777,0.885,0.115,6420,0
12684,0.885,0.115,46968,0
26240,0.885,0.115,98814,0
3669,0.885,0.115,14210,0
8895,0.885,0.115,32808,0
14772,0.885,0.115,53015,0
786,0.885,0.115,3244,0
399,0.885,0.115,1907,0
18953,0.885,0.115,64840,0
7886,0.885,0.115,29307,0
17496,0.885,0.115,61059,0
10030,0.885,0.115,37617,0
20132,0.885,0.115,68641,0
9301,0.885,0.115,35049,0
7538,0.885,0.115,28356,0
5787,0.885,0.115,21810,0
377,0.885,0.115,1844,0
23590,0.885,0.115,80925,0
643,0.885,0.115,2779,0
3688,0.885,0.115,14420,0
12056,0.885,0.115,44865,0
10865,0.885,0.115,40291,0
24184,0.885,0.115,84319,0
5883,0.885,0.115,22578,0
21416,0.885,0.115,73002,0
3647,0.885,0.115,14136,0
631,0.885,0.115,2747,0
24423,0.885,0.115,85622,0
2106,0.885,0.115,7717,0
820,0.885,0.115,3303,0
19869,0.885,0.115,67834,0
17780,0.885,0.115,61760,0
26291,0.885,0.115,98946,0
25265,0.885,0.115,94038,0
13584,0.885,0.115,49322,0
5929,0.885,0.115,22736,0
21714,0.885,0.115,74019,0
25254,0.885,0.115,93928,0
24211,0.885,0.115,84522,0
9949,0.885,0.115,37302,0
7597,0.885,0.115,28453,0
17288,0.885,0.115,60109,0
14467,0.885,0.115,51638,0
5632,0.885,0.115,21108,0
13146,0.885,0.115,48191,0
5547,0.885,0.115,20676,0
7591,0.885,0.115,28445,0
13138,0.885,0.115,48176,0
2157,0.885,0.115,7843,0
2101,0.885,0.115,7703,0
8636,0.885,0.115,31804,0
17952,0.885,0.115,62206,0
22483,0.885,0.115,76574,0
18048,0.885,0.115,62358,0
19723,0.885,0.115,67457,0
317,0.885,0.115,1570,0
13375,0.885,0.115,48835,0
8573,0.885,0.115,31632,0
1927,0.885,0.115,7026,0
1913,0.885,0.115,7009,0
315,0.885,0.115,1568,0
6722,0.885,0.115,25302,0
13915,0.885,0.115,50054,0
6036,0.885,0.115,23102,0
6488,0.885,0.115,24651,0
19741,0.885,0.115,67485,0
11607,0.885,0.115,43466,0
13084,0.885,0.115,48048,0
20248,0.885,0.115,68836,0
14011,0.885,0.115,50219,0
13386,0.885,0.115,48849,0
8683,0.885,0.115,32064,0
22386,0.885,0.115,76301,0
24620,0.885,0.115,87357,0
17351,0.885,0.115,60466,0
22387,0.885,0.115,76302,0
10833,0.885,0.115,40143,0
11020,0.885,0.115,41074,0
12478,0.885,0.115,46160,0
10530,0.885,0.115,39042,0
4899,0.885,0.115,17579,0
1933,0.885,0.115,7032,0
19350,0.885,0.115,66224,0
2067,0.885,0.115,7620,0
6006,0.885,0.115,23027,0
23742,0.885,0.115,81648,0
5613,0.885,0.115,21034,0
21341,0.885,0.115,72751,0
24239,0.885,0.115,84631,0
15375,0.885,0.115,54856,0
17638,0.885,0.115,61424,0
20257,0.885,0.115,68847,0
2017,0.885,0.115,7417,0
15116,0.885,0.115,54245,0
19901,0.885,0.115,67878,0
998,0.885,0.115,4039,0
5783,0.885,0.115,21794,0
12617,0.885,0.115,46764,0
25694,0.885,0.115,96122,0
12113,0.885,0.115,45155,0
17917,0.885,0.115,62059,0
12914,0.885,0.115,47568,0
333,0.885,0.115,1611,0
12745,0.885,0.115,47125,0
1850,0.885,0.115,6755,0
15470,0.885,0.115,55046,0
3730,0.885,0.115,14514,0
13118,0.885,0.115,48131,0
10998,0.885,0.115,41008,0
21710,0.89,0.11,74014,0
10206,0.89,0.11,38122,0
21856,0.89,0.11,74530,0
8260,0.89,0.11,30415,0
23433,0.89,0.11,80117,0
7226,0.89,0.11,27310,0
14770,0.89,0.11,53013,0
23025,0.89,0.11,78588,0
23266,0.89,0.11,79351,0
22364,0.89,0.11,76238,0
5621,0.89,0.11,21052,0
14182,0.89,0.11,50588,0
8689,0.89,0.11,32079,0
9409,0.89,0.11,35476,0
23083,0.89,0.11,78724,0
9408,0.89,0.11,35475,0
11134,0.89,0.11,41564,0
23722,0.89,0.11,81521,0
21352,0.89,0.11,72801,0
14600,0.89,0.11,52314,0
23731,0.89,0.11,81635,0
14749,0.89,0.11,52768,0
10992,0.89,0.11,41001,0
9144,0.89,0.11,33976,0
7726,0.89,0.11,28679,0
22678,0.89,0.11,77423,0
14370,0.89,0.11,51350,0
14653,0.89,0.11,52544,0
6652,0.89,0.11,25126,0
21837,0.89,0.11,74456,0
14620,0.89,0.11,52336,0
14588,0.89,0.11,52253,0
15048,0.89,0.11,54107,0
23115,0.89,0.11,78870,0
14613,0.89,0.11,52328,0
9116,0.89,0.11,33903,0
10189,0.89,0.11,38063,0
10472,0.89,0.11,38857,0
21510,0.89,0.11,73141,0
5808,0.89,0.11,21861,0
10423,0.89,0.11,38722,0
17161,0.89,0.11,59716,0
6638,0.89,0.11,25107,0
20806,0.89,0.11,71346,0
14834,0.89,0.11,53128,0
22873,0.89,0.11,78067,0
7923,0.89,0.11,29405,0
22280,0.89,0.11,75934,0
22880,0.89,0.11,78076,0
20113,0.89,0.11,68532,0
7105,0.89,0.11,26679,0
15344,0.89,0.11,54817,0
14481,0.89,0.11,52030,0
17691,0.89,0.11,61490,0
22895,0.89,0.11,78123,0
10104,0.89,0.11,37813,0
9860,0.89,0.11,37025,0
22905,0.89,0.11,78146,0
21955,0.89,0.11,74844,0
22611,0.89,0.11,77026,0
7987,0.89,0.11,29550,0
8458,0.89,0.11,31052,0
14221,0.89,0.11,50643,0
9837,0.89,0.11,36879,0
17556,0.89,0.11,61273,0
8952,0.89,0.11,33069,0
7076,0.89,0.11,26575,0
22237,0.89,0.11,75779,0
20673,0.89,0.11,70785,0
23249,0.89,0.11,79312,0
5412,0.89,0.11,19525,0
10849,0.89,0.11,40178,0
21989,0.89,0.11,74937,0
8443,0.89,0.11,31030,0
15264,0.89,0.11,54637,0
21969,0.89,0.11,74865,0
23821,0.89,0.11,82701,0
22796,0.89,0.11,77861,0
22308,0.89,0.11,75977,0
10345,0.89,0.11,38558,0
8079,0.89,0.11,29812,0
5888,0.89,0.11,22620,0
10916,0.89,0.11,40510,0
22737,0.89,0.11,77562,0
22973,0.89,0.11,78389,0
20446,0.89,0.11,70032,0
22064,0.89,0.11,75181,0
17706,0.89,0.11,61533,0
22988,0.89,0.11,78417,0
22640,0.89,0.11,77302,0
20607,0.89,0.11,70647,0
22993,0.89,0.11,78536,0
7202,0.89,0.11,27235,0
23664,0.89,0.11,81151,0
15286,0.89,0.11,54669,0
14526,0.89,0.11,52142,0
5856,0.89,0.11,22460,0
6458,0.89,0.11,24590,0
5914,0.89,0.11,22714,0
5931,0.89,0.11,22738,0
10354,0.89,0.11,38569,0
23595,0.89,0.11,80930,0
22619,0.89,0.11,77045,0
8517,0.89,0.11,31329,0
8327,0.89,0.11,30567,0
5530,0.89,0.11,20632,0
9863,0.89,0.11,37029,0
23199,0.89,0.11,79083,0
17148,0.89,0.11,59638,0
22747,0.89,0.11,77585,0
8871,0.89,0.11,32712,0
22940,0.89,0.11,78332,0
23330,0.89,0.11,79548,0
17339,0.89,0.11,60442,0
17859,0.89,0.11,61932,0
23612,0.89,0.11,81040,0
17291,0.89,0.11,60112,0
23175,0.89,0.11,79041,0
9041,0.89,0.11,33596,0
17612,0.89,0.11,61367,0
8237,0.89,0.11,30294,0
2403,0.89,0.11,8691,0
2390,0.89,0.11,8609,0
2475,0.89,0.11,8876,0
15544,0.89,0.11,55353,0
2528,0.89,0.11,10519,0
4971,0.89,0.11,17862,0
2540,0.89,0.11,10541,0
2608,0.89,0.11,10992,0
2696,0.89,0.11,11709,0
2752,0.89,0.11,11959,0
18121,0.89,0.11,62480,0
25472,0.89,0.11,95553,0
2793,0.89,0.11,12047,0
2846,0.89,0.11,12143,0
18086,0.89,0.11,62438,0
12245,0.89,0.11,45614,0
2936,0.89,0.11,12448,0
25362,0.89,0.11,95247,0
2349,0.89,0.11,8348,0
15988,0.89,0.11,56349,0
2304,0.89,0.11,8210,0
12514,0.89,0.11,46327,0
15523,0.89,0.11,55320,0
1380,0.89,0.11,4988,0
25780,0.89,0.11,97028,0
12839,0.89,0.11,47380,0
1452,0.89,0.11,5260,0
12797,0.89,0.11,47281,0
13720,0.89,0.11,49716,0
1670,0.89,0.11,6073,0
1691,0.89,0.11,6108,0
1757,0.89,0.11,6379,0
5043,0.89,0.11,18040,0
1778,0.89,0.11,6422,0
1865,0.89,0.11,6785,0
1959,0.89,0.11,7066,0
23985,0.89,0.11,83464,0
2033,0.89,0.11,7444,0
2068,0.89,0.11,7621,0
2102,0.89,0.11,7704,0
25562,0.89,0.11,95912,0
2187,0.89,0.11,7930,0
2236,0.89,0.11,8037,0
19936,0.89,0.11,68041,0
19284,0.89,0.11,66010,0
3118,0.89,0.11,12839,0
19582,0.89,0.11,67039,0
24803,0.89,0.11,88267,0
24793,0.89,0.11,88230,0
13992,0.89,0.11,50166,0
4154,0.89,0.11,15560,0
24660,0.89,0.11,87537,0
24182,0.89,0.11,84317,0
11618,0.89,0.11,43515,0
19654,0.89,0.11,67210,0
15692,0.89,0.11,55926,0
11538,0.89,0.11,43227,0
24386,0.89,0.11,85355,0
17043,0.89,0.11,59318,0
15620,0.89,0.11,55720,0
24264,0.89,0.11,84663,0
19760,0.89,0.11,67524,0
24241,0.89,0.11,84633,0
17063,0.89,0.11,59410,0
24207,0.89,0.11,84516,0
3948,0.89,0.11,15057,0
19518,0.89,0.11,66869,0
12129,0.89,0.11,45177,0
25257,0.89,0.11,93954,0
25251,0.89,0.11,93924,0
3287,0.89,0.11,13144,0
3320,0.89,0.11,13304,0
12078,0.89,0.11,45050,0
3326,0.89,0.11,13313,0
18029,0.89,0.11,62336,0
3450,0.89,0.11,13628,0
25868,0.89,0.11,97389,0
11977,0.89,0.11,44654,0
11944,0.89,0.11,44606,0
3638,0.89,0.11,14120,0
19430,0.89,0.11,66607,0
3699,0.89,0.11,14456,0
11887,0.89,0.11,44314,0
3761,0.89,0.11,14586,0
13942,0.89,0.11,50105,0
4840,0.89,0.11,17344,0
3602,0.89,0.11,14042,0
16230,0.89,0.11,57021,0
15596,0.89,0.11,55606,0
635,0.89,0.11,2763,0
12980,0.89,0.11,47854,0
20003,0.89,0.11,68333,0
18386,0.89,0.11,62996,0
510,0.89,0.11,2338,0
18749,0.89,0.11,64123,0
16512,0.89,0.11,57656,0
26086,0.89,0.11,98250,0
13332,0.89,0.11,48740,0
492,0.89,0.11,2176,0
440,0.89,0.11,2061,0
16497,0.89,0.11,57634,0
19978,0.89,0.11,68301,0
26284,0.89,0.11,98937,0
13145,0.89,0.11,48190,0
928,0.89,0.11,3842,0
943,0.89,0.11,3858,0
26451,0.89,0.11,99587,0
641,0.89,0.11,2771,0
26156,0.89,0.11,98527,0
361,0.89,0.11,1778,0
26180,0.89,0.11,98571,0
13432,0.89,0.11,49004,0
721,0.89,0.11,3031,0
1180,0.89,0.11,4537,0
13497,0.89,0.11,49097,0
18366,0.89,0.11,62966,0
1233,0.89,0.11,4645,0
18246,0.89,0.11,62821,0
26408,0.89,0.11,99360,0
26410,0.89,0.11,99371,0
18345,0.89,0.11,62941,0
16366,0.89,0.11,57349,0
12958,0.89,0.11,47711,0
26000,0.89,0.11,97818,0
582,0.89,0.11,2635,0
18760,0.89,0.11,64134,0
10616,0.895,0.105,39327,0
3759,0.895,0.105,14572,0
26422,0.895,0.105,99552,0
8848,0.895,0.105,32631,0
391,0.895,0.105,1886,0
18516,0.895,0.105,63461,0
6837,0.895,0.105,25817,0
15950,0.895,0.105,56293,0
387,0.895,0.105,1867,0
3829,0.895,0.105,14774,0
17786,0.895,0.105,61773,0
6398,0.895,0.105,24459,0
21456,0.895,0.105,73053,0
3866,0.895,0.105,14837,0
10674,0.895,0.105,39478,0
3763,0.895,0.105,14589,0
417,0.895,0.105,1966,0
25011,0.895,0.105,92061,0
21655,0.895,0.105,73754,0
25127,0.895,0.105,93241,0
12008,0.895,0.105,44706,0
19352,0.895,0.105,66401,0
3459,0.895,0.105,13640,0
23099,0.895,0.105,78801,0
518,0.895,0.105,2359,0
11998,0.895,0.105,44689,0
9337,0.895,0.105,35124,0
17808,0.895,0.105,61840,0
3369,0.895,0.105,13367,0
25193,0.895,0.105,93544,0
3562,0.895,0.105,13842,0
302,0.895,0.105,1536,0
3570,0.895,0.105,13861,0
11957,0.895,0.105,44622,0
19396,0.895,0.105,66517,0
25045,0.895,0.105,92316,0
437,0.895,0.105,2053,0
10427,0.895,0.105,38732,0
3902,0.895,0.105,14891,0
25991,0.895,0.105,97753,0
261,0.895,0.105,1434,0
13478,0.895,0.105,49073,0
4333,0.895,0.105,15946,0
19687,0.895,0.105,67357,0
20267,0.895,0.105,68861,0
23645,0.895,0.105,81123,0
24396,0.895,0.105,85501,0
11491,0.895,0.105,43105,0
23690,0.895,0.105,81303,0
23701,0.895,0.105,81335,0
20218,0.895,0.105,68786,0
11461,0.895,0.105,43021,0
5753,0.895,0.105,21723,0
14185,0.895,0.105,50593,0
17934,0.895,0.105,62084,0
24280,0.895,0.105,84724,0
21511,0.895,0.105,73149,0
26589,0.895,0.105,99783,0
20172,0.895,0.105,68729,0
5687,0.895,0.105,21557,0
20147,0.895,0.105,68661,0
26591,0.895,0.105,99785,0
11400,0.895,0.105,42544,0
11003,0.895,0.105,41030,0
11394,0.895,0.105,42518,0
9163,0.895,0.105,34211,0
10863,0.895,0.105,40272,0
8948,0.895,0.105,33060,0
15719,0.895,0.105,55960,0
16428,0.895,0.105,57465,0
8967,0.895,0.105,33170,0
14254,0.895,0.105,50707,0
10712,0.895,0.105,39653,0
20430,0.895,0.105,69348,0
3983,0.895,0.105,15133,0
8980,0.895,0.105,33319,0
15319,0.895,0.105,54755,0
19589,0.895,0.105,67052,0
18426,0.895,0.105,63077,0
210,0.895,0.105,1242,0
19593,0.895,0.105,67056,0
208,0.895,0.105,1238,0
19596,0.895,0.105,67059,0
23484,0.895,0.105,80497,0
23496,0.895,0.105,80543,0
6159,0.895,0.105,23836,0
14642,0.895,0.105,52401,0
23502,0.895,0.105,80611,0
19608,0.895,0.105,67073,0
14000,0.895,0.105,50201,0
19628,0.895,0.105,67124,0
20341,0.895,0.105,69001,0
13439,0.895,0.105,49015,0
153,0.895,0.105,1050,0
24655,0.895,0.105,87528,0
19646,0.895,0.105,67152,0
11615,0.895,0.105,43506,0
24855,0.895,0.105,89017,0
658,0.895,0.105,2817,0
9661,0.895,0.105,36322,0
25603,0.895,0.105,95977,0
1170,0.895,0.105,4489,0
9888,0.895,0.105,37074,0
16249,0.895,0.105,57042,0
18990,0.895,0.105,65037,0
7747,0.895,0.105,28719,0
1917,0.895,0.105,7013,0
1943,0.895,0.105,7044,0
7721,0.895,0.105,28673,0
22423,0.895,0.105,76437,0
7705,0.895,0.105,28647,0
1665,0.895,0.105,6067,0
1987,0.895,0.105,7104,0
14984,0.895,0.105,53923,0
12568,0.895,0.105,46554,0
20901,0.895,0.105,71662,0
7643,0.895,0.105,28540,0
9604,0.895,0.105,36080,0
8393,0.895,0.105,30755,0
2138,0.895,0.105,7762,0
18704,0.895,0.105,64029,0
8417,0.895,0.105,30903,0
2196,0.895,0.105,7946,0
17733,0.895,0.105,61571,0
18722,0.895,0.105,64070,0
16072,0.895,0.105,56523,0
17430,0.895,0.105,60935,0
1543,0.895,0.105,5676,0
8227,0.895,0.105,30277,0
18771,0.895,0.105,64158,0
21127,0.895,0.105,72330,0
25923,0.895,0.105,97487,0
1327,0.895,0.105,4917,0
9717,0.895,0.105,36518,0
8149,0.895,0.105,30055,0
1240,0.895,0.105,4654,0
16650,0.895,0.105,58250,0
21102,0.895,0.105,72160,0
8129,0.895,0.105,29941,0
18835,0.895,0.105,64489,0
7936,0.895,0.105,29438,0
21068,0.895,0.105,72106,0
12846,0.895,0.105,47387,0
8258,0.895,0.105,30412,0
21055,0.895,0.105,72080,0
8268,0.895,0.105,30428,0
8043,0.895,0.105,29672,0
22195,0.895,0.105,75654,0
22199,0.895,0.105,75662,0
12802,0.895,0.105,47320,0
26041,0.895,0.105,97883,0
16153,0.895,0.105,56659,0
9825,0.895,0.105,36861,0
9832,0.895,0.105,36870,0
9772,0.895,0.105,36619,0
3224,0.895,0.105,13033,0
2217,0.895,0.105,8012,0
14542,0.895,0.105,52165,0
2755,0.895,0.105,11962,0
16795,0.895,0.105,58541,0
8654,0.895,0.105,31829,0
21793,0.895,0.105,74347,0
8690,0.895,0.105,32081,0
2794,0.895,0.105,12051,0
2804,0.895,0.105,12063,0
12325,0.895,0.105,45768,0
14355,0.895,0.105,51246,0
25405,0.895,0.105,95388,0
25394,0.895,0.105,95365,0
9448,0.895,0.105,35585,0
8739,0.895,0.105,32227,0
26360,0.895,0.105,99149,0
3013,0.895,0.105,12565,0
15100,0.895,0.105,54208,0
13272,0.895,0.105,48616,0
22886,0.895,0.105,78112,0
8748,0.895,0.105,32317,0
3086,0.895,0.105,12787,0
18055,0.895,0.105,62366,0
22925,0.895,0.105,78222,0
3143,0.895,0.105,12874,0
6939,0.895,0.105,26155,0
3166,0.895,0.105,12928,0
22826,0.895,0.105,77979,0
20858,0.895,0.105,71454,0
8630,0.895,0.105,31793,0
2239,0.895,0.105,8041,0
8425,0.895,0.105,31008,0
2288,0.895,0.105,8097,0
2289,0.895,0.105,8098,0
21975,0.895,0.105,74873,0
16290,0.895,0.105,57221,0
2385,0.895,0.105,8558,0
14557,0.895,0.105,52209,0
15599,0.895,0.105,55612,0
2412,0.895,0.105,8732,0
14396,0.895,0.105,51450,0
20796,0.895,0.105,71331,0
2450,0.895,0.105,8830,0
21946,0.895,0.105,74832,0
2522,0.895,0.105,10507,0
8513,0.895,0.105,31320,0
22657,0.895,0.105,77362,0
16592,0.895,0.105,58043,0
9497,0.895,0.105,35754,0
13182,0.895,0.105,48328,0
12368,0.895,0.105,45843,0
2692,0.895,0.105,11693,0
2483,0.895,0.105,8901,0
23856,0.895,0.105,82944,0
2780,0.895,0.105,12029,0
15538,0.895,0.105,55341,0
4848,0.895,0.105,17356,0
19973,0.895,0.105,68138,0
24197,0.895,0.105,84335,0
5608,0.895,0.105,21013,0
19885,0.895,0.105,67855,0
24112,0.895,0.105,84013,0
20095,0.895,0.105,68463,0
23957,0.895,0.105,83414,0
4954,0.895,0.105,17836,0
5538,0.895,0.105,20653,0
15585,0.895,0.105,55430,0
23812,0.895,0.105,82633,0
5601,0.895,0.105,20882,0
11168,0.895,0.105,41660,0
14141,0.895,0.105,50535,0
19937,0.895,0.105,68042,0
3018,0.9,0.1,12571,0
1506,0.9,0.1,5477,0
18819,0.9,0.1,64470,0
11516,0.9,0.1,43151,0
2366,0.9,0.1,8514,0
3039,0.9,0.1,12724,0
23379,0.9,0.1,79782,0
8888,0.9,0.1,32776,0
25530,0.9,0.1,95673,0
18209,0.9,0.1,62670,0
5882,0.9,0.1,22576,0
2364,0.9,0.1,8511,0
1803,0.9,0.1,6475,0
19881,0.9,0.1,67850,0
26302,0.9,0.1,99009,0
23413,0.9,0.1,79927,0
1521,0.9,0.1,5641,0
557,0.9,0.1,2537,0
21658,0.9,0.1,73757,0
5583,0.9,0.1,20778,0
12217,0.9,0.1,45385,0
1807,0.9,0.1,6480,0
1516,0.9,0.1,5492,0
2997,0.9,0.1,12528,0
12212,0.9,0.1,45380,0
3976,0.9,0.1,15112,0
19556,0.9,0.1,67001,0
10713,0.9,0.1,39654,0
5892,0.9,0.1,22627,0
13503,0.9,0.1,49106,0
16292,0.9,0.1,57224,0
2418,0.9,0.1,8740,0
16388,0.9,0.1,57379,0
